,0
0,0.5848832085394898
1,0.7004956622568829
2,0.8251845830717922
3,0.6126500293443656
4,0.6752659865203753
5,0.5773696986269259
6,0.7685860049057885
7,0.6492055354428274
8,0.7470921186141343
9,0.8547590010618671
10,0.6565872598441757
11,0.6776454110605591
12,0.7248992906828778
13,0.7095325522301374
14,0.714556444192421
15,0.7067709341504735
16,0.6789627506548876
17,0.778883626359334
18,0.7615773807097992
19,0.6946724229460586
20,0.7005492004623367
21,0.7463777466627167
22,0.7307897430499897
23,0.7204496929640535
24,0.7081326606287879
25,0.7119708046355859
26,0.6841788191910569
27,0.7142683285435883
28,0.7328508962050271
29,0.7490202340394515
30,0.6764331126879142
31,0.7143398243299456
32,0.7052152452878863
33,0.6876253008629809
34,0.7426870124238671
35,0.7708108207920148
36,0.7100986350520054
37,0.7225047631605606
38,0.71051381117076
39,0.7294911452955998
40,0.7206526314071
41,0.7436985564765957
42,0.6777380053464047
43,0.7015013260240301
44,0.71889991499666
45,0.7197614982723853
46,0.7092629060763398
47,0.729121295006674
48,0.7223559258401356
49,0.7322511637541189
50,0.7110499771991019
51,0.7120515419356295
52,0.728302192419531
53,0.7456438596780575
54,0.7038075101704292
55,0.7393462481801064
56,0.7466950042657164
57,0.7065442008760847
58,0.7183586347360429
59,0.7238682544195914
60,0.749569193654087
61,0.7364425459146411
62,0.7033612206280699
63,0.7172149444918342
64,0.7248922117784634
65,0.7203927099494554
66,0.7429413917027137
67,0.7316017090820787
68,0.7282415472964976
69,0.7156935094978522
70,0.72173671588136
71,0.7042747890782702
72,0.7002096603457489
73,0.7123421346815372
74,0.7265020026217723
75,0.7272114100876351
76,0.7293125069954242
77,0.7218155796494885
78,0.7220164245652031
79,0.7470536978736986
80,0.7304615467793204
81,0.7354005350100257
82,0.7286980562688636
83,0.7269607171673834
84,0.711193596031798
85,0.7197511884942771
86,0.7362624678506658
87,0.7374965511818905
88,0.7341655640191248
89,0.7151898403559523
90,0.7355594388886372
91,0.7265538941806897
92,0.7299666253511083
93,0.7259357995154503
94,0.7289561228544356
95,0.7276992861584747
96,0.729663122585514
97,0.7395989980962081
98,0.7358074232034647
99,0.7368329073752232
100,0.7418050591694049
101,0.7287874967492273
102,0.7311391384798969
103,0.7478951941460033
104,0.7294572034440768
105,0.7287921257263033
106,0.7167441621329885
107,0.7444928421361965
108,0.7262381074084927
109,0.7329742348013826
110,0.7180939832322816
111,0.7389070457660407
112,0.7307327822232964
113,0.7319809123378015
114,0.7199839480004584
115,0.7161801800204122
116,0.7299735885418314
117,0.7335980561691605
118,0.7300106328686806
119,0.73795697982752
120,0.7328627854794818
121,0.7106546200420288
122,0.7335657720278161
123,0.7322585688427431
124,0.7333337417996015
125,0.7361084939094862
126,0.7262920093384524
127,0.7264764734368965
128,0.7399781218651637
129,0.7256175815549901
130,0.718100854808053
131,0.7333074978151982
132,0.72696496820077
133,0.7288571158852452
134,0.7215461510317761
135,0.7369186196053612
136,0.7257546198581936
137,0.7328515727278373
138,0.7298322876497026
139,0.7278015835194345
140,0.7230552952692656
141,0.7263604691826167
142,0.7132641851399566
143,0.7259197179585384
144,0.7228554670861953
145,0.7319414914244794
146,0.7326734150933624
147,0.7368639913054823
148,0.717589877457039
149,0.7156440102184228
150,0.7151199434972549
151,0.7297137124265224
152,0.727761550673988
153,0.7281734778392248
154,0.7298703694399856
155,0.736125134477294
156,0.7256057463678923
157,0.7348190625951176
158,0.7384567482788356
159,0.7374986435522087
160,0.7189012875242707
161,0.7261364602571979
162,0.7404876980173178
163,0.7268427994546611
164,0.7277762400569654
165,0.7237128530856661
166,0.7275872784569121
167,0.7293457054778816
168,0.7203365451872259
169,0.7407603665594573
170,0.7302410293747139
171,0.7316973419909112
172,0.7314275111533093
173,0.7316956415473176
174,0.7280939097243534
175,0.7239150654833719
176,0.7394992642883929
177,0.7303846267398678
178,0.7269184923822851
179,0.72681576132991
180,0.7279798805826463
181,0.7279512478644206
182,0.7296915111838116
183,0.7303856404896976
184,0.7292563917672146
185,0.7293736301708859
186,0.7309531634884582
187,0.7266718281478253
188,0.7325078173763606
189,0.7294951482345636
190,0.7276620413503324
191,0.7304746196510096
192,0.730145760232938
193,0.7291923976967208
194,0.728459006360066
195,0.7273563371101983
196,0.7306025453590971
197,0.7281722168116948
198,0.7282190786670436
199,0.7284274477801667
