,loss_train,loss_valid
0,542.7936013,540.0954032
1,524.8168414,533.3653357
2,519.2882285,533.2449976
3,514.6905095,529.2727925
4,510.8979634,527.924179
5,507.1997685,536.514917
6,504.1141239,526.6035317
7,501.2074968,527.1930707
8,498.0370365,522.6912503
9,495.4061884,523.2864457
10,492.231718,524.1604214
11,489.0784302,520.5249302
12,485.4485895,518.1693662
13,481.4228126,515.0898322
14,476.8991715,515.6188035
15,471.7702183,512.6328781
16,466.327649,512.0609359
17,460.3035554,509.4033396
18,454.0159055,509.125504
19,447.0949452,508.3297249
20,440.1098812,504.101081
21,433.0885802,504.4896502
22,426.0309523,507.2982211
23,418.8451556,504.8952036
24,411.7258091,506.9819134
25,404.6849882,502.4876479
26,397.6915896,509.2009642
27,391.1478314,506.5100585
28,384.3394092,504.8264355
29,377.7110451,508.1210784
30,371.4197442,509.5021678
31,365.1395742,509.5334414
32,359.0876846,509.399976
33,353.2707971,509.649644
34,347.5028667,505.0671061
35,341.8577197,514.6710374
36,336.0859363,513.5000885
37,330.894224,515.7949511
38,325.6449822,517.8218616
39,320.629223,526.9814378
40,315.4563186,518.8882418
41,310.6107528,522.9382535
42,306.0038458,535.7288417
43,301.4005027,534.2613101
44,296.8869787,528.8738979
45,292.4446281,527.8996665
46,288.311118,543.2343647
47,284.0269021,539.088718
48,279.9418281,547.0122865
49,275.6768507,541.8979004
50,272.0044241,546.1857025
51,268.300737,556.9310711
52,264.6836734,551.7769833
53,260.959081,556.0758081
54,257.1923896,574.1400359
55,253.7704935,578.9946305
56,250.4588167,576.5470322
57,247.1046223,572.0946496
58,243.8296724,578.8095362
59,240.7220451,582.5877577
60,237.6626584,579.488628
61,234.5415501,586.3374639
62,231.61553,595.7022747
63,228.762512,591.988482
64,225.7098877,586.7711441
65,222.9650991,596.4080337
66,220.3327195,603.2109221
67,217.3938007,612.9324482
68,214.9255262,595.5719792
69,212.2431176,611.1462604
70,209.9520529,609.4822776
71,207.4243728,617.7174105
72,204.8323846,613.8567682
73,202.7242753,624.7695399
74,200.3173493,630.6549485
75,197.943117,633.0907777
76,195.7380443,629.7687823
77,193.6338115,632.8763082
78,191.2761111,627.7928428
79,189.3347479,641.9039257
80,187.2236581,648.3912771
81,185.1900937,643.225151
82,183.1059464,658.6014769
83,181.1994631,657.291872
84,179.3551825,659.8460535
85,177.4276472,660.8517348
86,175.6360477,673.9989818
87,173.6578221,678.4967811
88,171.9011899,672.6681127
89,170.2511309,678.4001726
90,168.3684649,679.3433953
91,166.8551586,676.4533342
92,165.1172304,681.5051861
93,163.3613062,691.7442922
94,161.7300538,690.630895
95,160.0887804,699.361549
96,158.635507,700.4719672
97,157.2193718,696.8604463
98,155.6158906,701.1416458
99,153.8887228,712.5274675
100,152.674645,709.8472944
101,151.2237637,720.5891672
102,149.7240717,715.8668917
103,148.4647925,712.2383728
104,147.1567017,719.8097681
105,145.5960463,728.8203234
106,144.4866912,723.9008684
107,143.0658115,732.6045663
108,141.7516433,743.6648226
109,140.6047851,749.3399495
110,139.2689504,738.1520812
111,138.2040065,738.3796917
112,137.085563,746.1621318
113,135.686269,748.6835635
114,134.4801309,755.7875635
115,133.2249823,754.3294041
116,132.3552334,755.0129361
117,131.0953441,762.3255912
118,130.0013022,759.3317182
119,128.852563,763.1659296
120,127.831526,763.6000979
121,126.7663311,775.0957477
122,125.852485,777.4575907
123,124.906231,774.2123881
124,123.6819877,781.5868098
125,122.5606187,785.638977
126,121.7474453,791.3056323
127,120.7574915,783.0946386
128,119.8710045,786.755475
129,118.7286358,795.1581029
130,117.8712789,801.8467378
131,117.146704,801.4357608
132,116.101505,793.892632
133,115.2927926,801.1125829
134,114.346788,809.0212559
135,113.5834298,809.9824247
136,112.5978957,812.7199431
137,111.8653827,809.9850862
138,110.9475164,821.5568411
139,110.1212953,823.3148321
140,109.4892235,819.619646
141,108.6399868,824.6328201
142,107.8046154,825.4774076
143,106.9365135,833.3500169
144,106.0350125,833.2192045
145,105.5418891,830.255831
146,104.697156,835.7828673
147,103.9424827,840.719142
148,103.2701712,845.1580812
149,102.5623367,844.7590721
150,101.98163,847.5856378
151,101.0420762,847.5568668
152,100.5754721,855.4942494
153,99.73890568,858.2698818
154,98.98378655,853.1007906
155,98.33862411,857.8333336
156,97.78247412,861.0541601
157,97.15242023,868.2571904
158,96.39629431,864.4244453
159,95.7350865,866.2507733
160,95.36893587,870.6217318
161,94.66389114,874.9030086
162,94.03695513,871.6809636
163,93.44077224,882.7044395
164,92.94963445,882.0113033
165,92.3000204,880.2407093
166,91.69602327,881.2600813
167,91.03855739,882.8750631
168,90.58037676,888.5323969
169,90.15199323,891.7980609
170,89.64052166,889.3752667
171,89.03762517,895.1220817
172,88.44693186,899.7981005
173,87.95058727,899.2181976
174,87.31373246,901.6168656
175,87.10234953,903.7803027
176,86.4244768,907.0429602
177,86.03140601,902.0010715
178,85.43097818,907.977082
179,85.05075382,909.6768409
180,84.73920617,910.1474393
181,84.16066726,913.4278178
182,83.80884366,914.522673
183,83.39328286,913.3789204
184,83.05672198,917.2401231
185,82.5733677,919.7937042
186,82.05238359,916.4133595
187,81.71321591,923.8346377
188,81.29971625,926.2093075
189,80.93420201,928.4947899
190,80.58386649,928.1797008
191,80.34723528,927.3308141
192,79.85216244,929.3685758
193,79.60740347,931.4882827
194,79.31468032,933.645223
195,79.20121758,933.0342399
196,78.93416792,932.0038649
197,78.61562803,932.7875501
198,78.50266049,934.945308
199,78.4277287,934.0302963
