,loss_train,loss_valid
0,714.7616034,590.5416535
1,563.2593049,552.4210825
2,542.670113,544.0977549
3,535.2551644,540.18117
4,530.1822862,536.1563346
5,526.110986,534.1563324
6,523.3185704,536.141253
7,521.196978,533.2177205
8,519.3287184,532.4749624
9,517.9545976,536.1562847
10,516.3938229,529.9063124
11,515.4912997,530.9309208
12,514.3630467,533.4447843
13,513.2683324,530.8268822
14,512.6050774,534.1886463
15,511.9353887,533.1892092
16,510.9919578,528.9864468
17,510.6097605,530.9915656
18,509.8861358,531.5276375
19,509.2517477,530.5257436
20,508.587926,529.8655693
21,508.2500243,528.927725
22,507.7941913,529.1068668
23,507.4436202,531.1599697
24,506.9473446,527.5434462
25,506.6720514,528.1566305
26,506.3734794,528.6451383
27,505.7666015,528.3388392
28,505.34653,528.9973876
29,505.0435092,527.4203059
30,504.72019,528.8335069
31,504.5310964,528.1665831
32,504.0107464,529.6659371
33,503.7544755,530.5178223
34,503.5371888,528.8996866
35,503.3720506,527.5456092
36,502.9535029,527.9658326
37,502.9159323,528.0452057
38,502.5205097,527.2836202
39,502.3679057,530.0867657
40,502.2833295,526.5820795
41,501.9773535,529.8455528
42,501.6416754,527.8737431
43,501.4664132,527.9362806
44,501.2060306,527.5042225
45,501.097912,526.9363214
46,500.8264836,529.2139667
47,500.6003799,527.161701
48,500.4523786,529.4255644
49,500.1670012,526.2525109
50,500.2357045,529.5789801
51,499.9066996,527.0613413
52,499.8151075,527.8600169
53,499.6493694,528.680891
54,499.5365068,527.0067115
55,499.3503039,526.1005491
56,499.0753034,528.4862642
57,499.1367956,528.1897798
58,498.8219502,528.4444277
59,498.7970256,527.2012811
60,498.5986255,527.2550337
61,498.4050565,525.308721
62,498.3703558,528.2881935
63,498.1961657,531.0010455
64,498.0761305,528.727921
65,497.8741912,527.5110951
66,497.7820585,526.9387623
67,497.5651642,527.4073141
68,497.4076242,531.81361
69,497.362094,528.6288709
70,497.1160165,525.4866936
71,496.8327827,526.7054523
72,496.7152743,529.0977795
73,496.520342,528.0851664
74,496.3330235,528.9958406
75,495.9747236,526.8660245
76,495.7712413,526.5499863
77,495.6037534,528.346709
78,495.2472838,527.6131627
79,495.0594824,528.8072709
80,494.9269943,527.4387618
81,494.7170614,526.2307069
82,494.5876897,526.5271752
83,494.451024,525.8681102
84,494.1985643,527.0504735
85,494.0764109,526.0009783
86,493.9323472,528.7974682
87,493.8348879,526.1931332
88,493.7529867,526.0050822
89,493.5301244,526.2990597
90,493.4330074,525.3313243
91,493.3587956,526.5664178
92,493.2255034,525.330007
93,493.1823197,526.1420025
94,492.999018,526.5833944
95,492.9002349,527.6778691
96,492.7434431,525.0843721
97,492.607803,525.7542165
98,492.5123314,525.0425906
99,492.4401516,526.2043866
100,492.4235426,527.9107703
101,492.2933302,526.5598222
102,492.2340316,525.8944363
103,491.9929896,527.1288178
104,492.0282582,528.9565843
105,491.928443,526.2549702
106,491.8392343,525.7911415
107,491.7158323,525.3420312
108,491.591668,526.6094706
109,491.520355,526.5410831
110,491.51381,526.9884035
111,491.347135,526.6968402
112,491.3039373,526.81793
113,491.205023,526.0614259
114,491.0982181,526.4875692
115,491.0455043,525.3177109
116,490.9389963,525.8108972
117,490.9281908,524.7729009
118,490.8379139,525.0741327
119,490.6657274,525.4925959
120,490.6990893,525.0452738
121,490.6449779,525.9362198
122,490.5790504,525.1432606
123,490.4716166,525.7331445
124,490.3476605,525.2589268
125,490.4195861,527.2020409
126,490.2340363,525.0850519
127,490.1711524,524.7561951
128,490.0882929,526.2375495
129,490.1019173,524.6876211
130,489.9947857,526.7118555
131,490.0297145,524.8353255
132,489.8242892,525.0609115
133,489.7989397,525.7551029
134,489.7365194,527.0690743
135,489.7159493,525.6199204
136,489.6199311,525.7916805
137,489.6430418,526.5967084
138,489.5462302,525.0215494
139,489.4254525,526.7641555
140,489.4016809,525.1161051
141,489.3761369,524.1997669
142,489.3560023,525.3102791
143,489.3042405,524.8621763
144,489.2278402,524.5481704
145,489.1325529,526.0221513
146,489.156783,524.769665
147,489.1139842,524.258652
148,489.0576367,524.7328644
149,488.9400231,526.1501353
150,488.8332044,525.2016925
151,488.7391623,525.3800842
152,488.8689624,525.1588381
153,488.7475434,524.539822
154,488.7389512,525.1634542
155,488.7260826,526.8682078
156,488.6708038,524.5209347
157,488.5849958,524.4152483
158,488.5533845,524.8456331
159,488.5483943,525.4222347
160,488.5320245,524.3951538
161,488.4287642,525.8163141
162,488.3616629,525.5270411
163,488.4577278,525.1532381
164,488.2876475,525.6651576
165,488.2896988,524.7590353
166,488.2544064,524.8455227
167,488.226788,525.1231926
168,488.1379332,525.6555603
169,488.1411882,524.5920035
170,488.1000161,524.5328135
171,488.0998438,525.0858678
172,488.0824362,524.0061279
173,488.0409127,525.5908859
174,487.9670098,524.7244356
175,487.9796329,525.3573447
176,488.0076542,524.9012141
177,487.8906227,525.7965303
178,487.8454258,524.9968677
179,487.8614111,524.4938662
180,487.8439998,525.5144872
181,487.8180784,525.3979444
182,487.720574,525.147208
183,487.722886,524.8945044
184,487.7165454,524.7886509
185,487.6630412,524.6916664
186,487.6026115,524.9753044
187,487.6864619,524.8611001
188,487.6486983,524.840911
189,487.6086264,524.3952872
190,487.5881337,524.3924026
191,487.594446,524.9353651
192,487.4964443,524.8657184
193,487.4985558,524.578625
194,487.4932234,524.9411506
195,487.4477704,524.6088448
196,487.4678112,524.8226306
197,487.4663227,524.7744081
198,487.4930222,524.9014071
199,487.4451626,524.727113
